user_id,age,gender,destination,country,start_date,end_date,min_temp_celsius,max_temp_celsius,avg_temp_celsius,luggage_type,trip_purpose,packed_items
U0001,65,f,Mumbai,India,2025-07-04,2025-07-12,25,30,27.5,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothpaste, 1 wallet, 1 power adapter, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 3 summer dress, 3 shorts, 6 tank top, 1 sunscreen, 2 insect repellent"
U0002,55,nb,Santiago,Chile,2025-10-13,2025-10-23,10,22,16.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0003,31,f,Vienna,Austria,2025-10-10,2025-10-23,8,15,11.5,checked,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 t-shirt, 4 jeans, 1 light jacket, 1 sneakers, 6 dress shirt, 3 dress pants, 2 blazer, 2 dress shoes, 1 belt, 3 dress"
U0004,52,f,London,UK,2025-12-20,2025-12-29,3,9,6.0,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 2 thermal underwear, 4 wool socks, 1 toothbrush, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 1 winter coat, 1 wool scarf, 1 beanie"
U0005,44,m,Amsterdam,Netherlands,2025-12-20,2026-01-03,2,7,4.5,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 2 thermal underwear, 4 wool socks, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 4 sweater, 1 winter coat, 1 gloves, 1 beanie"
U0006,40,nb,Montreal,Canada,2025-07-15,2025-07-26,17,27,22.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0007,51,m,Helsinki,Finland,2025-07-12,2025-07-26,13,21,17.0,carry_on,leisure,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 toothpaste, 1 deodorant, 1 wallet, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket"
U0008,35,f,Delhi,India,2025-08-27,2025-09-03,26,34,30.0,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 3 bikini, 3 summer dress, 4 shorts, 7 tank top"
U0009,28,nb,Johannesburg,South Africa,2025-12-16,2025-12-29,14,25,19.5,checked,leisure,"1 toothbrush, 1 toothpaste, 1 deodorant, 1 phone charger, 1 wallet, 1 passport, 1 medications, 1 power adapter, 1 shampoo, 1 conditioner, 1 face wash, 1 face moisturizer, 1 brush/comb, 7 t-shirt, 4 jeans, 1 light jacket, 1 sneakers"
U0010,34,f,Beijing,China,2025-09-18,2025-09-21,15,26,20.5,hand,business,"1 phone charger, 1 passport, 1 medications, 1 toothbrush, 1 wallet, 1 power adapter, 2 jeans, 1 light jacket, 1 sneakers, 2 dress shirt, 1 blazer, 1 dress shoes, 1 belt"
